#Time in Seconds,Aggregate Throughput,NF1 Throughput,NF2 Throughput,NF1 CPU Util%,NF2 CPU Util%
1,7620000,208544,7434730,3,60
2,7640000,207360,7434672,6,89
3,7640000,208320,7433801,6,89
4,7640000,208448,7430984,5,90
5,7640000,207840,7434984,5,89
6,7640000,208608,7435281,5,89
7,7640000,206880,7432440,6,89
8,7640000,207168,7432330,5,89
9,7640000,207968,7435475,5,89
10,7640000,304832,7430980,6,90
11,8580000,1171483,7424320,10,84
12,8580000,1158080,7427641,11,85
13,8570000,1133664,7429900,16,84
14,8600000,1177856,7428334,8,84
15,8570000,1148864,7432116,11,84
16,8580000,1127168,7431805,12,85
17,8590000,1178016,7428636,12,84
18,8600000,1157248,7430702,11,83
19,8580000,1159232,7431703,12,85
20,8590000,1528435,7170310,12,83
21,10240000,5118947,5185205,36,60
22,10230000,5129785,5131499,50,49
23,10320000,5144655,5173518,47,48
24,10220000,5117421,5131792,48,48
25,10220000,5090260,5127761,48,48
26,10230000,5109171,5135741,48,48
27,10360000,5145694,5196101,48,48
28,10230000,5119989,5125080,48,49
29,10350000,5175306,5215068,48,47
30,10310000,5109685,5152870,49,49
31,10210000,5114630,5081782,47,47
32,10220000,5129991,5117254,48,48
33,10170000,5106442,5073826,48,48
34,10200000,5125905,5097022,47,47
35,10280000,5145656,5117582,47,48
36,10180000,5090241,5054976,47,47
37,10220000,5128379,5116764,48,48
38,10250000,5135148,5108941,47,47
39,10130000,5087983,5063543,48,48
40,10180000,5101384,5072236,47,46
41,10280000,5182171,5113092,48,49
42,10120000,5128656,4996245,49,48
43,10300000,5181127,5136483,48,48
44,10260000,5148262,5135199,49,49
45,10140000,5130652,5005126,48,48
46,10290000,5180543,5121730,49,50
47,10210000,5131893,5096386,48,48
48,10320000,5166108,5140711,48,49
49,10180000,5153891,5080724,50,48
50,10320000,5269856,4979572,48,48
51,8600000,7335003,1127872,69,27
52,8590000,7426764,1172288,84,12
53,8580000,7432349,1150336,84,12
54,8560000,7426910,1142688,84,12
55,8590000,7423316,1159780,85,12
56,8610000,7431446,1185760,83,11
57,8490000,7246338,1128992,83,14
58,8190000,7160404,1133952,81,15
59,8630000,7427584,1219584,83,12
60,8400000,7011648,1272705,84,12
61,10130000,5203627,5253417,58,38
62,10460000,5212903,5237842,49,49
63,10420000,5200073,5212990,49,49
64,10460000,5223340,5254098,49,48
65,10470000,5227745,5241130,48,49
66,10460000,5214959,5241221,49,49
